matchunitid,matchmakingid,evaluation,userid,teamflag,waittime,rank,tier,tsmu,tssigma,level,lineupoverall,usernbagroupid,isai,matchhitid,leaderboard,framerate,isautoplay,rotationoverall,timecheckid,rotationoverallstreet,poolindex,userteamvalue,competitionid,usertaggroupid,rotationoverallsmooth,rotationoverallstreetsmooth,lineupinstanceid
7763937550502682711,4,215,2627473576,0,10550,23,3,159045,10133,110,103,0,0,7763937727502315211,128644,60,0,88,1,100,0,13388440,2060025,0,8800,10000,1
7763937286227977906,4,215,2322922461,0,26302,24,3,211223,10760,110,98,0,0,7763937727502315211,178941,60,0,93,1,98,0,13675200,2060025,0,9300,9800,1
7763937555099647114,4,0,3804766497,0,10776,29,3,201851,11113,110,109,0,0,7763937735890925829,168509,60,0,91,1,102,4,20291600,2060025,0,9100,10200,6
7763936993583004375,4,86,573424867,0,44745,41,4,200970,12689,110,97,0,0,7763937744279532227,162900,60,0,94,2,96,0,35423000,2060025,0,9400,9600,1
7763936991200625740,4,86,307414211,0,44887,66,5,191980,10590,110,103,0,0,7763937744279532227,160207,60,0,82,2,99,0,20748000,2060025,0,8200,9900,5
7763936966739451953,4,86,1752717368,0,46345,41,4,263552,10159,110,94,0,0,7763937744279532227,233074,60,0,87,2,92,0,10176730,2060025,0,8700,9200,1
7763937491832758783,4,174,1500169295,1,15047,94,6,210372,10401,110,115,0,0,7763937744279532228,179168,60,0,108,1,114,2,67635760,2060025,0,10800,11400,1
7763937341978664766,4,174,1021413102,1,23979,80,6,239988,9773,110,101,0,0,7763937744279532228,210668,60,0,99,1,108,2,66348800,2060025,0,9900,10800,4
7763937502385635081,4,174,1452337342,1,14418,113,7,244044,10512,110,121,0,0,7763937744279532228,212506,60,0,95,1,111,2,151652330,2060025,0,9500,11100,8
7763937590868666582,4,86,1666729633,1,9144,42,4,220439,10466,110,93,0,0,7763937744279532227,189039,60,0,65,1,93,0,74172800,2060025,0,6500,9300,3
7763937610078579733,4,86,1761095652,1,7999,42,4,176433,10491,110,98,0,0,7763937744279532227,144960,60,0,89,1,95,0,7912280,2060025,0,8900,9500,1
7763937341240474775,4,86,2183607508,1,24023,74,5,252594,11312,110,96,0,0,7763937744279532227,218656,60,0,89,1,96,0,17063280,2060025,0,8900,9600,1
7763937635814830906,4,174,3606736077,0,6465,81,6,194340,10478,110,96,7763936825979861304,0,7763937744279532228,162905,60,0,92,1,101,2,25783940,2060025,0,9200,10100,1
7763937635814830906,4,174,3398446487,0,6465,51,4,195012,10630,110,117,7763936825979861304,0,7763937744279532228,163120,60,0,105,1,114,2,73565920,2060025,0,10500,11400,1
7763937242741437960,4,174,164818823,0,29894,119,7,258481,10565,110,127,0,0,7763937744279532228,226785,60,0,95,1,115,2,314598640,2060025,0,9500,11500,1
7763937400346605512,4,45,411055425,1,22495,48,4,182081,10507,110,117,0,0,7763937777750080747,150558,60,0,106,1,114,0,83824000,2060025,0,10600,11400,1
7763937294465591610,4,45,251565935,1,28806,27,3,183152,10546,110,112,0,0,7763937777750080747,151512,60,0,87,1,112,0,120684800,2060025,0,8700,11200,9
7763937187695391977,4,45,328333512,0,35170,41,4,196259,10498,110,113,0,0,7763937777750080747,164763,60,0,100,1,110,0,24584960,2060025,0,10000,11000,1
7763937691095758665,4,45,2294067192,1,5165,33,3,197964,10555,110,111,0,0,7763937777750080747,166297,60,0,103,1,110,0,21716800,2060025,0,10300,11000,1
7763937549647044620,4,45,969561786,0,13596,34,3,191581,10581,110,114,0,0,7763937777750080747,159837,60,0,100,1,111,0,86616000,2060025,0,10000,11100,6
7763937448883078413,4,45,757150195,0,19602,40,4,175569,10526,110,115,0,0,7763937777750080747,143991,60,0,107,1,112,0,41010560,2060025,0,10700,11200,4
7763937293609945491,4,87,1460873025,1,31360,21,2,220749,10607,110,117,0,0,7763937819743446641,188925,60,0,97,1,107,0,42339200,2060025,0,9700,10700,1
7763937346256857721,4,87,2739637417,0,28222,24,3,252174,10532,110,105,0,0,7763937819743446641,220575,60,0,83,1,105,0,17834120,2060025,0,8300,10000,21
7763937276128085200,4,87,2910083214,0,32402,20,2,141434,10290,110,105,0,0,7763937819743446641,110561,60,0,94,1,103,0,14428800,2060025,0,9400,10300,1
7763937563035258130,4,87,2264294642,1,15301,22,3,200668,10592,110,103,0,0,7763937819743446641,168891,60,0,96,1,103,0,6122280,2060025,0,9600,10300,1
7763937449721951949,4,87,3819913753,0,22055,16,2,174295,9884,110,102,0,0,7763937819743446641,144641,60,0,93,1,101,0,21608960,2060025,0,9300,10100,1
7763937348639225957,4,87,197925230,1,28080,16,2,169048,10364,110,104,0,0,7763937819743446641,137955,60,0,86,1,104,0,10489320,2060025,0,8600,10056,1
7763936713369928803,4,190,19831463,1,67445,114,7,201241,10622,110,96,0,0,7763937844909261161,169374,60,0,87,2,96,2,9572480,2060025,0,8700,9600,1
7763935978410438198,4,190,3180494558,0,111252,92,6,202798,10415,110,96,0,0,7763937844909261161,171551,30,0,89,3,103,2,43760800,2060025,0,8900,10300,6
7763935827834920085,4,190,941827179,1,120227,106,7,247034,10519,110,118,7763935399933271695,0,7763937844909261161,215475,60,0,96,3,106,2,81413760,2060025,0,9600,10600,1
7763935827834920085,4,190,1574593688,1,120227,107,7,228608,10277,110,107,7763935399933271695,0,7763937844909261161,197776,30,0,98,3,106,2,97201200,2060025,0,9800,10600,1
