matchunitid,matchmakingid,evaluation,userid,teamflag,waittime,rank,tier,tsmu,tssigma,level,lineupoverall,usernbagroupid,isai,matchhitid,leaderboard,framerate,isautoplay,rotationoverall,timecheckid,rotationoverallstreet,poolindex,userteamvalue,competitionid,usertaggroupid,rotationoverallsmooth,rotationoverallstreetsmooth,lineupinstanceid
7764535759990036605,3,54,1040248989,1,7487,47,5,311368,8197,110,112,0,0,7764535885601051842,286777,60,0,115,1,129,0,171584000,2050025,0,11500,12900,19
7764535823508579374,3,31,1572863255,1,3701,87,7,258009,7886,110,97,0,0,7764535885601051844,234348,60,0,97,1,110,2,28180840,2050025,0,9700,11000,9
7764535474307610583,3,54,281045480,0,24515,45,4,262540,8297,110,117,0,0,7764535885601051842,237647,60,0,117,1,130,0,242694400,2050025,0,11700,13000,19
7764535781716527951,3,86,2435277511,1,6192,31,3,318422,8410,110,112,0,0,7764535885601051843,293190,60,0,112,1,116,0,206867470,2050025,0,11200,11600,11
7764535748531200285,3,86,2126694747,0,8170,12,2,204513,8206,110,110,0,0,7764535885601051843,179892,60,0,110,1,116,0,131993200,2050025,0,11000,11600,1
7764535382267801550,3,31,1254747162,0,30001,86,7,262216,8047,110,91,0,0,7764535885601051844,238072,60,0,91,1,99,2,47157800,2050025,0,9100,9900,1
7764535725294755820,3,43,365045142,1,11050,59,5,255419,8052,110,101,0,0,7764535910682984616,231262,60,0,101,1,112,0,18540830,2050025,0,10100,11200,1
7764535701705991952,3,43,2990420459,0,12456,56,5,248160,8082,110,97,0,0,7764535910682984616,223913,60,0,97,1,108,0,55952320,2050025,0,9700,10800,1
7764535734186687553,3,27,2297614749,1,11018,67,6,285255,8080,110,103,0,0,7764535919038054132,261014,60,0,103,1,112,0,67958400,2050025,0,10300,11200,1
7764535678721200805,3,27,2976044986,0,14324,86,7,299392,8121,110,103,0,0,7764535919038054132,275027,60,0,104,1,110,0,68084370,2050025,0,10400,11000,1
7764535731116444500,3,23,464574972,1,11201,44,4,226893,8080,110,99,0,0,7764535919038054133,202651,60,0,99,1,104,0,43628960,2050025,0,9900,10400,1
7764535673738368791,3,23,2078378567,0,14621,44,4,234622,8071,110,101,0,0,7764535919038054133,210408,60,0,101,1,106,0,32542800,2050025,0,10100,10600,2
7764535730093039173,3,15,2418638544,1,11262,112,9,325563,8126,110,109,0,0,7764535919038054134,301184,60,0,109,1,121,2,163294100,2050025,0,10900,12100,15
7764535469190559379,3,15,2353519328,0,26813,119,9,325631,8117,110,106,0,0,7764535919038054134,301278,60,0,106,1,114,2,57448320,2050025,0,10600,11400,1
7764535808526525789,3,15,3068821261,1,7096,61,6,244518,8124,110,97,0,0,7764535927577647187,220144,60,0,97,1,107,0,38328960,2050025,0,9700,10700,1
7764535735075876556,3,36,3021204695,1,11474,35,4,213440,8145,110,92,0,0,7764535927577647188,189003,60,0,92,1,96,0,13767300,2050025,0,9200,9600,1
7764535731468766976,3,36,907658363,0,11689,23,3,225666,8148,110,94,0,0,7764535927577647188,201221,60,0,94,1,103,0,14063360,2050025,0,9400,10300,1
7764535596898726468,3,0,2107897515,0,19710,76,6,216168,8023,110,89,0,0,7764535927577647189,192097,60,0,95,1,106,1,63470780,2050025,0,9500,10600,2
7764535800154689118,3,15,2609734896,0,7595,46,5,254691,8087,110,97,0,0,7764535927577647187,230427,60,0,97,1,107,0,36947200,2050025,0,9700,10700,1
7764535839916689488,3,30,602342093,1,5724,17,2,232314,20974,110,93,0,0,7764535935949481406,169390,60,0,93,1,98,0,27614800,2050025,0,8968,9800,1
7764535699189407222,3,45,2425145850,0,14112,69,6,240657,8154,110,85,0,0,7764535935949481407,216194,60,0,85,1,89,0,12858200,2050025,0,8500,8900,1
7764535818391521875,3,30,857539393,0,7007,30,3,208522,10710,110,92,0,0,7764535935949481406,176391,60,0,92,1,100,0,17943160,2050025,0,9200,10000,1
7764535720043494118,3,45,2776079511,1,12869,46,5,297229,13411,108,84,0,0,7764535935949481407,256993,60,0,84,1,91,0,3854640,2050025,0,8400,9100,1
7764535807335343459,3,82,2681767587,1,8664,23,3,146421,9354,110,85,0,0,7764535952693140635,118358,60,0,85,1,90,0,5444160,2050025,0,8500,9000,1
7764535697662683651,3,82,854690791,0,15201,10,2,207283,8103,110,81,0,0,7764535952693140635,182972,60,0,81,1,86,0,8757960,2050025,0,8100,8600,1
7764535595690765433,3,0,397677668,0,21279,65,6,231196,8177,110,94,0,0,7764535952693140636,206664,60,0,94,1,102,1,10425720,2050025,0,9400,10200,1
7764534926716046635,3,103,3145864479,0,61653,10,2,272023,24877,64,61,0,0,7764535961081748312,197391,60,0,61,3,66,0,0,2050025,0,6100,6600,1
7764535533883492759,3,32,3348981811,0,25463,60,5,266219,8165,110,101,0,0,7764535961081748313,241721,30,0,101,1,113,0,90434290,2050025,0,10100,11300,30
7764535776180051823,3,103,2482951192,1,11021,19,2,219834,14970,101,65,0,0,7764535961081748312,174924,60,0,65,1,70,0,0,2050025,0,6500,7000,1
7764535840252243659,3,32,2894977154,1,7202,45,4,270648,8089,110,99,0,0,7764535961081748313,246379,30,0,99,1,102,0,28656000,2050025,0,9900,10200,1
7764535763060275148,3,82,1015777956,0,12301,71,6,255703,8289,110,98,0,0,7764535969436808949,230833,60,0,98,1,111,0,69696880,2050025,0,9800,11100,1
7764535828810179162,3,82,2260846223,1,8382,46,5,209804,8248,110,93,0,0,7764535969436808949,185059,60,0,93,1,99,0,24531840,2050025,0,9300,9900,1
7764535779099294500,3,70,2414375344,1,11345,25,3,204314,12036,103,67,0,0,7764535969436808950,168204,60,0,67,1,76,0,271700,2050025,0,6700,7600,3
7764535625587764540,3,70,1400729214,0,20495,23,3,283069,14575,101,70,0,0,7764535969436808950,239342,60,0,70,1,75,0,1438900,2050025,0,7000,7500,1
7764535773965460871,3,35,281976349,0,12150,42,4,246686,8000,110,100,0,0,7764535977808633938,222684,60,0,100,1,106,0,41912400,2050025,0,10000,10600,1
7764535870283448639,3,35,1544506680,1,6409,43,4,234886,8061,110,97,0,0,7764535977808633938,210701,60,0,97,1,104,0,30924800,2050025,0,9700,10400,7
7764535895365390419,3,31,2227566993,1,6918,24,3,254733,8133,110,89,0,0,7764536011430179160,230333,60,0,89,1,95,0,15015540,2050025,0,8900,9500,1
7764535786682588081,3,31,3672938538,0,13396,40,4,212027,8364,110,89,0,0,7764536011430179160,186934,60,0,89,1,91,0,15812480,2050025,0,8900,9100,1
7764535639428959184,3,0,2408395684,0,22670,56,5,228855,8029,110,93,0,0,7764536019768457104,204768,60,0,93,1,103,1,21930560,2050025,0,9300,10300,1
7764535841107883332,3,67,3963262075,1,11149,52,5,272199,10466,110,83,0,0,7764536028157063328,240798,60,0,83,1,93,0,5393920,2050025,0,8300,9300,1
7764535798627962762,3,67,3458348867,0,13681,49,5,249569,8066,110,89,0,0,7764536028157063328,225368,60,0,89,1,97,0,9744690,2050025,0,8900,9700,1
7764535539503861865,3,45,1662962145,1,29126,98,9,295221,8098,110,94,0,0,7764536028157063329,270927,60,0,95,1,100,2,47435360,2050025,0,9500,10000,1
